transaction,actual,budgeted,date,subcategory
MEDICAL SCHEMES incl. PENSIONERS,-27.01420348,-27.01420348,2020-07-31,STAFF COSTS
PENSIONS,-0.40260579,-0.40260579,2020-07-31,STAFF COSTS
STD BANK,15.98603336,,2020-07-31,COLLECTIONS
FNB,17.0,,2020-07-31,COLLECTIONS
NEDBANK MOBILE DEBIT ORDERS,302.46,315.0,2020-07-31,COLLECTIONS
ABSA BANK,525.27934829,685.0,2020-07-31,COLLECTIONS
WHOLESALE FX RECEIPTS,3.68458661,3.68458661,2020-07-31,OTHER INFLOWS
AP PAYMENTS,-925.67438497,-980.7393442,2020-07-31,ACCOUNTS PAYABLE
BIDVEST/BROLL/ EXCELLERATE PAYMENTS,-44.89997839,-44.89997839,2020-07-31,ACCOUNTS PAYABLE
AP FOREX PAYMENTS,-428.5241895,-428.5241895,2020-07-31,ACCOUNTS PAYABLE
BCX,-382.67444354,-382.67444354,2020-07-31,ACCOUNTS PAYABLE
TELKOM MOBILE & DOMESTIC OPERATORS ,-0.12938106,-0.14897306,2020-07-31,ACCOUNTS PAYABLE
WHOLESALE FOREX PAYMENTS,-24.96971288,-24.96971288,2020-07-31,WHOLESALE PAYMENTS
OTHER / TELKOM MOBILE,100.93963362,,2020-07-31,COLLECTIONS
INTEREST BONDS/CPs,-1.9260274,-1.9260274,2020-08-03,TREASURY PAYMENTS
STD BANK,0.33433207,,2020-08-03,COLLECTIONS
MTN / VODACOM / CELL-C / NEOTEL,5.77485222,,2020-08-03,COLLECTIONS
LOCAL INTEREST ON CALL,6.69303287,6.69303287,2020-08-03,OTHER INFLOWS
AP PAYMENTS,-0.09744064,-0.2,2020-08-03,ACCOUNTS PAYABLE
MONEY MARKET FEES,-0.43479452,-0.43479452,2020-08-03,TREASURY PAYMENTS
FNB,19.0,,2020-08-03,COLLECTIONS
AP PAYMENTS,-0.09744064,-0.2,2020-08-03,ACCOUNTS PAYABLE
LOCAL INTEREST ON CALL,6.69303287,6.69303287,2020-08-03,OTHER INFLOWS
MTN / VODACOM / CELL-C / NEOTEL,5.77485222,,2020-08-03,COLLECTIONS
MONEY MARKET FEES,-0.43479452,-0.43479452,2020-08-03,TREASURY PAYMENTS
ABSA BANK,121.23826716,100.0,2020-08-03,COLLECTIONS
STD BANK,0.33433207,,2020-08-03,COLLECTIONS
ABSA BANK,121.23826716,100.0,2020-08-03,COLLECTIONS
INTEREST BONDS/CPs,-1.9260274,-1.9260274,2020-08-03,TREASURY PAYMENTS
FNB,19.0,,2020-08-03,COLLECTIONS
BIDVEST/BROLL/ EXCELLERATE PAYMENTS,-19.13106816,-19.13106816,2020-08-05,ACCOUNTS PAYABLE
NEDBANK MOBILE DEBIT ORDERS,52.46,50.0,2020-08-05,COLLECTIONS
AP PAYMENTS,-0.12148854,-0.345775800000001,2020-08-05,ACCOUNTS PAYABLE
SUNDRY PAYMENTS,-0.12315604,-0.12315604,2020-08-05,ACCOUNTS PAYABLE
BIDVEST/BROLL/ EXCELLERATE PAYMENTS,-19.13106816,-19.13106816,2020-08-05,ACCOUNTS PAYABLE
SUNDRY PAYMENTS,-0.12315604,-0.12315604,2020-08-05,ACCOUNTS PAYABLE
NEDBANK MOBILE DEBIT ORDERS,52.46,50.0,2020-08-05,COLLECTIONS
AP PAYMENTS,-0.12148854,-0.345775800000001,2020-08-05,ACCOUNTS PAYABLE
STD BANK,0.52406855,,2020-08-05,COLLECTIONS
ABSA BANK,418.91298425,350.0,2020-08-05,COLLECTIONS
STD BANK,0.52406855,,2020-08-05,COLLECTIONS
ABSA BANK,418.91298425,350.0,2020-08-05,COLLECTIONS
INTERNATIONAL ROAMING (GSM)  - ,-189.62555368,-189.62555368,2020-08-07,ACCOUNTS PAYABLE
FNB,21.0,,2020-08-07,COLLECTIONS
ABSA BANK,88.71308458,130.0,2020-08-07,COLLECTIONS
STD BANK,15.09487576,,2020-08-07,COLLECTIONS
SUNDRY PAYMENTS,-0.10542123,-0.15237707,2020-08-07,ACCOUNTS PAYABLE
INTERNATIONAL ROAMING (GSM)  - ,-189.62555368,-189.62555368,2020-08-07,ACCOUNTS PAYABLE
"E-FILLING (PAYE, SDL & UIF)",-62.66950003,-62.66950003,2020-08-07,STAFF COSTS
OTHER ,16.67631175,,2020-08-07,STAFF COSTS
OTHER ,16.67631175,,2020-08-07,STAFF COSTS
"E-FILLING (PAYE, SDL & UIF)",-62.66950003,-62.66950003,2020-08-07,STAFF COSTS
AP PAYMENTS,-22.54005467,-22.35256922,2020-08-07,ACCOUNTS PAYABLE
SUNDRY PAYMENTS,-0.10542123,-0.15237707,2020-08-07,ACCOUNTS PAYABLE
AP PAYMENTS,-22.54005467,-22.35256922,2020-08-07,ACCOUNTS PAYABLE
OTHER / TELKOM MOBILE,38.74961826,,2020-08-07,COLLECTIONS
FNB,21.0,,2020-08-07,COLLECTIONS
ABSA BANK,88.71308458,130.0,2020-08-07,COLLECTIONS
STD BANK,15.09487576,,2020-08-07,COLLECTIONS
OTHER / TELKOM MOBILE,38.74961826,,2020-08-07,COLLECTIONS
ABSA BANK,62.69999842,120.0,2020-08-12,COLLECTIONS
STD BANK,0.91014517,,2020-08-12,COLLECTIONS
OTHER / TELKOM MOBILE,13.07348229,,2020-08-12,COLLECTIONS
MTN / VODACOM / CELL-C / NEOTEL,16.72951811,,2020-08-12,COLLECTIONS
AP PAYMENTS,-0.45116913,-0.65938042,2020-08-12,ACCOUNTS PAYABLE
SUNDRY PAYMENTS,-0.04061958,-0.04061958,2020-08-12,ACCOUNTS PAYABLE
MTN / VODACOM / CELL-C / NEOTEL,16.72951811,,2020-08-12,COLLECTIONS
AP PAYMENTS,-0.45116913,-0.65938042,2020-08-12,ACCOUNTS PAYABLE
SUNDRY PAYMENTS,-0.04061958,-0.04061958,2020-08-12,ACCOUNTS PAYABLE
OTHER / TELKOM MOBILE,13.07348229,,2020-08-12,COLLECTIONS
ABSA BANK,62.69999842,120.0,2020-08-12,COLLECTIONS
STD BANK,0.91014517,,2020-08-12,COLLECTIONS
OTHER ,4.98821812,,2020-08-12,STAFF COSTS
OTHER ,4.98821812,,2020-08-12,STAFF COSTS
SUNDRY PAYMENTS,-0.15903934,-0.3,2020-08-14,ACCOUNTS PAYABLE
AP FOREX PAYMENTS,-43.25961432,-43.25961432,2020-08-14,ACCOUNTS PAYABLE
BIDVEST/BROLL/ EXCELLERATE PAYMENTS,-27.32881694,-27.32881694,2020-08-14,ACCOUNTS PAYABLE
TELKOM MOBILE & DOMESTIC OPERATORS ,-10.60622763,-10.60622763,2020-08-14,ACCOUNTS PAYABLE
WHOLESALE FOREX PAYMENTS,-24.22688569,-24.22688569,2020-08-14,WHOLESALE PAYMENTS
INTERNATIONAL ROAMING (GSM)  - ,-72.0165028,-72.0165028,2020-08-14,ACCOUNTS PAYABLE
TELKOM MOBILE & DOMESTIC OPERATORS ,-10.60622763,-10.60622763,2020-08-14,ACCOUNTS PAYABLE
WHOLESALE FX RECEIPTS,5.56414973,5.56414973,2020-08-14,OTHER INFLOWS
AP PAYMENTS,-27.10462177,-27.14845263,2020-08-14,ACCOUNTS PAYABLE
OTHER / TELKOM MOBILE,41.27579211,,2020-08-14,COLLECTIONS
NEDBANK MOBILE DEBIT ORDERS,70.9,75.0,2020-08-14,COLLECTIONS
ABSA BANK,94.51742401,35.0,2020-08-14,COLLECTIONS
STD BANK,12.09890122,,2020-08-14,COLLECTIONS
EXCH. RATE DIFF,21.19663944,21.19663944,2020-08-14,TREASURY PAYMENTS
MONEY MARKET FEES,0.01,,2020-08-14,TREASURY PAYMENTS
EXCH. RATE DIFF,21.19663944,21.19663944,2020-08-14,TREASURY PAYMENTS
MTN / VODACOM / CELL-C / NEOTEL,17.11340018,,2020-08-14,COLLECTIONS
MONEY MARKET FEES,0.01,,2020-08-14,TREASURY PAYMENTS
INTERNATIONAL ROAMING (GSM)  - ,-72.0165028,-72.0165028,2020-08-14,ACCOUNTS PAYABLE
OTHER / TELKOM MOBILE,41.27579211,,2020-08-14,COLLECTIONS
BIDVEST/BROLL/ EXCELLERATE PAYMENTS,-27.32881694,-27.32881694,2020-08-14,ACCOUNTS PAYABLE
AP PAYMENTS,-27.10462177,-27.14845263,2020-08-14,ACCOUNTS PAYABLE
WHOLESALE FX RECEIPTS,5.56414973,5.56414973,2020-08-14,OTHER INFLOWS
MTN / VODACOM / CELL-C / NEOTEL,17.11340018,,2020-08-14,COLLECTIONS
NEDBANK MOBILE DEBIT ORDERS,70.9,75.0,2020-08-14,COLLECTIONS
ABSA BANK,94.51742401,35.0,2020-08-14,COLLECTIONS
STD BANK,12.09890122,,2020-08-14,COLLECTIONS
WHOLESALE FOREX PAYMENTS,-24.22688569,-24.22688569,2020-08-14,WHOLESALE PAYMENTS
AP FOREX PAYMENTS,-43.25961432,-43.25961432,2020-08-14,ACCOUNTS PAYABLE
SUNDRY PAYMENTS,-0.15903934,-0.3,2020-08-14,ACCOUNTS PAYABLE
OTHER / TELKOM MOBILE,1.04644473,,2020-08-18,COLLECTIONS
ABSA BANK,66.66568132,120.0,2020-08-18,COLLECTIONS
STD BANK,0.9216042800000012,,2020-08-18,COLLECTIONS
MONEY MARKET FEES,-0.68035425,-0.68035425,2020-08-18,TREASURY PAYMENTS
SUNDRY PAYMENTS,-0.0717757,-0.07122668,2020-08-18,ACCOUNTS PAYABLE
STD BANK,0.9216042800000012,,2020-08-18,COLLECTIONS
ABSA BANK,66.66568132,120.0,2020-08-18,COLLECTIONS
OTHER / TELKOM MOBILE,1.04644473,,2020-08-18,COLLECTIONS
AP PAYMENTS,-0.26607889,-0.52877332,2020-08-18,ACCOUNTS PAYABLE
OTHER ,0.026069,,2020-08-18,STAFF COSTS
AP PAYMENTS,-0.26607889,-0.52877332,2020-08-18,ACCOUNTS PAYABLE
SUNDRY PAYMENTS,-0.0717757,-0.07122668,2020-08-18,ACCOUNTS PAYABLE
MONEY MARKET FEES,-0.68035425,-0.68035425,2020-08-18,TREASURY PAYMENTS
OTHER ,0.026069,,2020-08-18,STAFF COSTS
SUNDRY PAYMENTS,-0.05594904,-0.05594904,2020-08-20,ACCOUNTS PAYABLE
AP PAYMENTS,-0.52099229,-0.74405096,2020-08-20,ACCOUNTS PAYABLE
MTN / VODACOM / CELL-C / NEOTEL,7.97078256,,2020-08-20,COLLECTIONS
NEDBANK MOBILE DEBIT ORDERS,26.64,18.0,2020-08-20,COLLECTIONS
ABSA BANK,45.06229863,47.0,2020-08-20,COLLECTIONS
OTHER ,-4.95327945,-5.0,2020-08-20,STAFF COSTS
STD BANK,0.3885453,,2020-08-20,COLLECTIONS
OTHER ,-4.95327945,-5.0,2020-08-20,STAFF COSTS
ABSA BANK,45.06229863,47.0,2020-08-20,COLLECTIONS
STD BANK,0.3885453,,2020-08-20,COLLECTIONS
SUNDRY PAYMENTS,-0.05594904,-0.05594904,2020-08-20,ACCOUNTS PAYABLE
AP PAYMENTS,-0.52099229,-0.74405096,2020-08-20,ACCOUNTS PAYABLE
MTN / VODACOM / CELL-C / NEOTEL,7.97078256,,2020-08-20,COLLECTIONS
NEDBANK MOBILE DEBIT ORDERS,26.64,18.0,2020-08-20,COLLECTIONS
OTHER ,0.02629889,,2020-08-24,STAFF COSTS
ABSA BANK,30.68291671,90.0,2020-08-24,COLLECTIONS
OTHER / TELKOM MOBILE,3.12100922,,2020-08-24,COLLECTIONS
PENSIONS,-42.77918491,-42.77918491,2020-08-24,STAFF COSTS
OTHER / TELKOM MOBILE,3.12100922,,2020-08-24,COLLECTIONS
AP PAYMENTS,-0.4000165,-0.537105590000004,2020-08-24,ACCOUNTS PAYABLE
ABSA BANK,30.68291671,90.0,2020-08-24,COLLECTIONS
STD BANK,0.53026091,,2020-08-24,COLLECTIONS
UNIONS,-0.21472,-0.21472,2020-08-24,STAFF COSTS
PENSIONS,-42.77918491,-42.77918491,2020-08-24,STAFF COSTS
BIDVEST/BROLL/ EXCELLERATE PAYMENTS,-8.6689895,-8.6689895,2020-08-24,ACCOUNTS PAYABLE
BIDVEST/BROLL/ EXCELLERATE PAYMENTS,-8.6689895,-8.6689895,2020-08-24,ACCOUNTS PAYABLE
AP PAYMENTS,-0.4000165,-0.537105590000004,2020-08-24,ACCOUNTS PAYABLE
OTHER ,0.02629889,,2020-08-24,STAFF COSTS
UNIONS,-0.21472,-0.21472,2020-08-24,STAFF COSTS
STD BANK,0.53026091,,2020-08-24,COLLECTIONS
OTHER ,0.19487814,,2020-08-26,STAFF COSTS
STD BANK,0.52325437,,2020-08-26,COLLECTIONS
ABSA BANK,57.83777982,70.0,2020-08-26,COLLECTIONS
MONEY MARKET FEES,-0.08855259,-0.08855259,2020-08-26,TREASURY PAYMENTS
OTHER ,0.19487814,,2020-08-26,STAFF COSTS
AP PAYMENTS,-0.88871152,-1.0195899,2020-08-26,ACCOUNTS PAYABLE
SUNDRY PAYMENTS,-0.0804101,-0.0804101,2020-08-26,ACCOUNTS PAYABLE
FNB,19.0,,2020-08-26,COLLECTIONS
STD BANK,0.52325437,,2020-08-26,COLLECTIONS
ABSA BANK,57.83777982,70.0,2020-08-26,COLLECTIONS
FNB,19.0,,2020-08-26,COLLECTIONS
MONEY MARKET FEES,-0.08855259,-0.08855259,2020-08-26,TREASURY PAYMENTS
AP PAYMENTS,-0.88871152,-1.0195899,2020-08-26,ACCOUNTS PAYABLE
SUNDRY PAYMENTS,-0.0804101,-0.0804101,2020-08-26,ACCOUNTS PAYABLE
SUNDRY PAYMENTS,-0.11521938,-0.1568442,2020-08-28,ACCOUNTS PAYABLE
OTHER ,-4.98737576,-5.0,2020-08-28,STAFF COSTS
SUNDRY PAYMENTS,-0.11521938,-0.1568442,2020-08-28,ACCOUNTS PAYABLE
AP PAYMENTS,-6.95275119,-7.1431558,2020-08-28,ACCOUNTS PAYABLE
OTHER / TELKOM MOBILE,119.42669114,,2020-08-28,COLLECTIONS
ABSA BANK,149.92853916,185.0,2020-08-28,COLLECTIONS
STD BANK,1.42921432,,2020-08-28,COLLECTIONS
STD BANK,1.42921432,,2020-08-28,COLLECTIONS
ABSA BANK,149.92853916,185.0,2020-08-28,COLLECTIONS
OTHER / TELKOM MOBILE,119.42669114,,2020-08-28,COLLECTIONS
MTN / VODACOM / CELL-C / NEOTEL,20.05184428,,2020-08-28,COLLECTIONS
OTHER ,-4.98737576,-5.0,2020-08-28,STAFF COSTS
AP PAYMENTS,-6.95275119,-7.1431558,2020-08-28,ACCOUNTS PAYABLE
MTN / VODACOM / CELL-C / NEOTEL,20.05184428,,2020-08-28,COLLECTIONS
ABSA BANK,82.85392563,140.0,2020-09-01,COLLECTIONS
STD BANK,0.81955217,,2020-09-01,COLLECTIONS
AP PAYMENTS,-0.44033824,-0.65,2020-09-01,ACCOUNTS PAYABLE
SUNDRY PAYMENTS,-0.07077182,-0.15,2020-09-01,ACCOUNTS PAYABLE
OTHER ,0.02720706,,2020-09-01,STAFF COSTS
INTEREST BONDS/CPs,-1.84726027,-1.84726027,2020-09-01,TREASURY PAYMENTS
STD BANK,0.81955217,,2020-09-01,COLLECTIONS
LOCAL INTEREST ON CALL,7.18342055,7.18342055,2020-09-01,OTHER INFLOWS
OTHER ,0.02720706,,2020-09-01,STAFF COSTS
INTEREST BONDS/CPs,-1.84726027,-1.84726027,2020-09-01,TREASURY PAYMENTS
ABSA BANK,82.85392563,140.0,2020-09-01,COLLECTIONS
LOCAL INTEREST ON CALL,7.18342055,7.18342055,2020-09-01,OTHER INFLOWS
SUNDRY PAYMENTS,-0.07077182,-0.15,2020-09-01,ACCOUNTS PAYABLE
AP PAYMENTS,-0.44033824,-0.65,2020-09-01,ACCOUNTS PAYABLE
AP PAYMENTS,-0.1006726,-1.0780025,2020-09-03,ACCOUNTS PAYABLE
SUNDRY PAYMENTS,-0.12214836,-0.1219975,2020-09-03,ACCOUNTS PAYABLE
MONEY MARKET FEES,-0.04883561,-0.04883561,2020-09-03,TREASURY PAYMENTS
STD BANK,0.49215953,,2020-09-03,COLLECTIONS
STD BANK,0.49215953,,2020-09-03,COLLECTIONS
MONEY MARKET FEES,-0.04883561,-0.04883561,2020-09-03,TREASURY PAYMENTS
SUNDRY PAYMENTS,-0.12214836,-0.1219975,2020-09-03,ACCOUNTS PAYABLE
AP PAYMENTS,-0.1006726,-1.0780025,2020-09-03,ACCOUNTS PAYABLE
OTHER / TELKOM MOBILE,5.3727424,,2020-09-03,COLLECTIONS
ABSA BANK,63.95561554,130.0,2020-09-03,COLLECTIONS
OTHER / TELKOM MOBILE,5.3727424,,2020-09-03,COLLECTIONS
ABSA BANK,63.95561554,130.0,2020-09-03,COLLECTIONS
STD BANK,10.92635019,,2020-09-07,COLLECTIONS
FNB,16.0,,2020-09-07,COLLECTIONS
OTHER / TELKOM MOBILE,6.85599073,,2020-09-07,COLLECTIONS
INTEREST BONDS/CPs,-28.09723353,-28.0972335342466,2020-09-07,TREASURY PAYMENTS
MONEY MARKET SWAP,-4.94276209,-4.94276209,2020-09-07,TREASURY PAYMENTS
ABSA BANK,334.82127789,80.0,2020-09-07,COLLECTIONS
AP PAYMENTS,-0.38156923,-0.54015641,2020-09-07,ACCOUNTS PAYABLE
"E-FILLING (PAYE, SDL & UIF)",-70.10344995,-70.09956915,2020-09-07,STAFF COSTS
OTHER / TELKOM MOBILE,6.85599073,,2020-09-07,COLLECTIONS
STD BANK,10.92635019,,2020-09-07,COLLECTIONS
ABSA BANK,334.82127789,80.0,2020-09-07,COLLECTIONS
INTEREST BONDS/CPs,-28.09723353,-28.0972335342466,2020-09-07,TREASURY PAYMENTS
MONEY MARKET SWAP,-4.94276209,-4.94276209,2020-09-07,TREASURY PAYMENTS
"E-FILLING (PAYE, SDL & UIF)",-70.10344995,-70.09956915,2020-09-07,STAFF COSTS
SUNDRY PAYMENTS,-0.00962104,,2020-09-07,ACCOUNTS PAYABLE
AP PAYMENTS,-0.38156923,-0.54015641,2020-09-07,ACCOUNTS PAYABLE
SUNDRY PAYMENTS,-0.00962104,,2020-09-07,ACCOUNTS PAYABLE
FNB,16.0,,2020-09-07,COLLECTIONS
STD BANK,0.55087947,,2020-09-09,COLLECTIONS
ABSA BANK,83.72815358,100.0,2020-09-09,COLLECTIONS
OTHER / TELKOM MOBILE,5.49065222,,2020-09-09,COLLECTIONS
MTN / VODACOM / CELL-C / NEOTEL,17.46235269,,2020-09-09,COLLECTIONS
AP PAYMENTS,-0.14004398,-0.3994113,2020-09-09,ACCOUNTS PAYABLE
SUNDRY PAYMENTS,-0.1005887,-0.1005887,2020-09-09,ACCOUNTS PAYABLE
MONEY MARKET SWAP,-1.78243069,-1.78243069,2020-09-09,TREASURY PAYMENTS
INTEREST BONDS/CPs,-4.26627945,-4.26627945,2020-09-09,TREASURY PAYMENTS
STD BANK,0.55087947,,2020-09-09,COLLECTIONS
ABSA BANK,83.72815358,100.0,2020-09-09,COLLECTIONS
OTHER / TELKOM MOBILE,5.49065222,,2020-09-09,COLLECTIONS
MTN / VODACOM / CELL-C / NEOTEL,17.46235269,,2020-09-09,COLLECTIONS
AP PAYMENTS,-0.14004398,-0.3994113,2020-09-09,ACCOUNTS PAYABLE
SUNDRY PAYMENTS,-0.1005887,-0.1005887,2020-09-09,ACCOUNTS PAYABLE
MONEY MARKET SWAP,-1.78243069,-1.78243069,2020-09-09,TREASURY PAYMENTS
INTEREST BONDS/CPs,-4.26627945,-4.26627945,2020-09-09,TREASURY PAYMENTS
OTHER / TELKOM MOBILE,13.55341677,,2020-09-11,COLLECTIONS
ABSA BANK,54.09744085,50.0,2020-09-11,COLLECTIONS
FNB,20.0,,2020-09-11,COLLECTIONS
ABSA BANK,54.09744085,50.0,2020-09-11,COLLECTIONS
STD BANK,11.40753237,,2020-09-11,COLLECTIONS
SUNDRY PAYMENTS,-0.122921764,-0.1559561,2020-09-11,ACCOUNTS PAYABLE
INTERNATIONAL ROAMING (GSM)  - ,-205.04850546,-205.05,2020-09-11,ACCOUNTS PAYABLE
INTEREST LOANS,-12.84617425,-12.84617425,2020-09-11,TREASURY PAYMENTS
MONEY MARKET FEES,-0.04871194,-0.04871194,2020-09-11,TREASURY PAYMENTS
STD BANK,11.40753237,,2020-09-11,COLLECTIONS
AP PAYMENTS,-24.81331735,-16.29573844,2020-09-11,ACCOUNTS PAYABLE
MONEY MARKET FEES,-0.04871194,-0.04871194,2020-09-11,TREASURY PAYMENTS
INTEREST LOANS,-12.84617425,-12.84617425,2020-09-11,TREASURY PAYMENTS
INTERNATIONAL ROAMING (GSM)  - ,-205.04850546,-205.05,2020-09-11,ACCOUNTS PAYABLE
SUNDRY PAYMENTS,-0.122921764,-0.1559561,2020-09-11,ACCOUNTS PAYABLE
AP PAYMENTS,-24.81331735,-16.29573844,2020-09-11,ACCOUNTS PAYABLE
OTHER / TELKOM MOBILE,13.55341677,,2020-09-11,COLLECTIONS
FNB,20.0,,2020-09-11,COLLECTIONS
MTN / VODACOM / CELL-C / NEOTEL,18.70581884,,2020-09-15,COLLECTIONS
STD BANK,0.74652615,,2020-09-15,COLLECTIONS
WHOLESALE FX RECEIPTS,11.16460642,11.16460642,2020-09-15,OTHER INFLOWS
AP PAYMENTS,-23.5274674,-23.507335809999997,2020-09-15,ACCOUNTS PAYABLE
AP FOREX PAYMENTS,-8.68484011,-8.68484011,2020-09-15,ACCOUNTS PAYABLE
SUNDRY PAYMENTS,-0.09281532,-0.09266419000000001,2020-09-15,ACCOUNTS PAYABLE
ABSA BANK,88.16752541,175.0,2020-09-15,COLLECTIONS
WHOLESALE FOREX PAYMENTS,-5.36639186,-5.36639186,2020-09-15,WHOLESALE PAYMENTS
EXCH. RATE DIFF,39.1901715,39.1901715,2020-09-15,TREASURY PAYMENTS
OTHER / TELKOM MOBILE,12.11530176,,2020-09-15,COLLECTIONS
NEDBANK MOBILE DEBIT ORDERS,84.62,75.0,2020-09-15,COLLECTIONS
NEDBANK MOBILE DEBIT ORDERS,84.62,75.0,2020-09-15,COLLECTIONS
STD BANK,0.74652615,,2020-09-15,COLLECTIONS
EXCH. RATE DIFF,39.1901715,39.1901715,2020-09-15,TREASURY PAYMENTS
WHOLESALE FOREX PAYMENTS,-5.36639186,-5.36639186,2020-09-15,WHOLESALE PAYMENTS
SUNDRY PAYMENTS,-0.09281532,-0.09266419000000001,2020-09-15,ACCOUNTS PAYABLE
AP FOREX PAYMENTS,-8.68484011,-8.68484011,2020-09-15,ACCOUNTS PAYABLE
AP PAYMENTS,-23.5274674,-23.507335809999997,2020-09-15,ACCOUNTS PAYABLE
WHOLESALE FX RECEIPTS,11.16460642,11.16460642,2020-09-15,OTHER INFLOWS
MTN / VODACOM / CELL-C / NEOTEL,18.70581884,,2020-09-15,COLLECTIONS
OTHER / TELKOM MOBILE,12.11530176,,2020-09-15,COLLECTIONS
ABSA BANK,88.16752541,175.0,2020-09-15,COLLECTIONS
STD BANK,0.49868761,,2020-09-17,COLLECTIONS
ABSA BANK,67.23207135,80.0,2020-09-17,COLLECTIONS
INTERNATIONAL ROAMING (GSM)  - ,-45.55270213,-45.55,2020-09-17,ACCOUNTS PAYABLE
MTN / VODACOM / CELL-C / NEOTEL,29.6984898,,2020-09-17,COLLECTIONS
STD BANK,0.49868761,,2020-09-17,COLLECTIONS
ABSA BANK,67.23207135,80.0,2020-09-17,COLLECTIONS
OTHER / TELKOM MOBILE,2.92137798,,2020-09-17,COLLECTIONS
MTN / VODACOM / CELL-C / NEOTEL,29.6984898,,2020-09-17,COLLECTIONS
AP PAYMENTS,-31.385633610000003,-31.45538471,2020-09-17,ACCOUNTS PAYABLE
SUNDRY PAYMENTS,-0.07660856,-0.07660856,2020-09-17,ACCOUNTS PAYABLE
TELKOM MOBILE & DOMESTIC OPERATORS ,-8.7153046,-8.7153046,2020-09-17,ACCOUNTS PAYABLE
INTERNATIONAL ROAMING (GSM)  - ,-45.55270213,-45.55,2020-09-17,ACCOUNTS PAYABLE
MONEY MARKET SWAP,-1.33639452,-1.33639452,2020-09-17,TREASURY PAYMENTS
INTEREST BONDS/CPs,-7.24707945205479,-7.24707945205479,2020-09-17,TREASURY PAYMENTS
INTEREST LOANS,-3.54263014,-3.54263014,2020-09-17,TREASURY PAYMENTS
INTEREST LOANS,-3.54263014,-3.54263014,2020-09-17,TREASURY PAYMENTS
INTEREST BONDS/CPs,-7.24707945205479,-7.24707945205479,2020-09-17,TREASURY PAYMENTS
MONEY MARKET SWAP,-1.33639452,-1.33639452,2020-09-17,TREASURY PAYMENTS
TELKOM MOBILE & DOMESTIC OPERATORS ,-8.7153046,-8.7153046,2020-09-17,ACCOUNTS PAYABLE
SUNDRY PAYMENTS,-0.07660856,-0.07660856,2020-09-17,ACCOUNTS PAYABLE
AP PAYMENTS,-31.385633610000003,-31.45538471,2020-09-17,ACCOUNTS PAYABLE
OTHER / TELKOM MOBILE,2.92137798,,2020-09-17,COLLECTIONS
AP PAYMENTS,-0.22728896,-0.4,2020-09-21,ACCOUNTS PAYABLE
STD BANK,0.55516982,,2020-09-21,COLLECTIONS
ABSA BANK,27.19403975,77.0,2020-09-21,COLLECTIONS
OTHER / TELKOM MOBILE,4.49597316,,2020-09-21,COLLECTIONS
ABSA BANK,27.19403975,77.0,2020-09-21,COLLECTIONS
OTHER / TELKOM MOBILE,4.49597316,,2020-09-21,COLLECTIONS
AP PAYMENTS,-0.22728896,-0.4,2020-09-21,ACCOUNTS PAYABLE
STD BANK,0.55516982,,2020-09-21,COLLECTIONS
SUNDRY PAYMENTS,-0.10293464,-0.10923464,2020-09-23,ACCOUNTS PAYABLE
BIDVEST/BROLL/ EXCELLERATE PAYMENTS,-11.9082279,-11.9082279,2020-09-23,ACCOUNTS PAYABLE
AP PAYMENTS,-0.18198403,-0.44,2020-09-23,ACCOUNTS PAYABLE
OTHER / TELKOM MOBILE,6.66782336,,2020-09-23,COLLECTIONS
ABSA BANK,159.30432157,50.0,2020-09-23,COLLECTIONS
STD BANK,0.37475745,,2020-09-23,COLLECTIONS
UNIONS,-0.21432,-0.21432,2020-09-23,STAFF COSTS
PENSIONS,-42.72819193,-42.72819193,2020-09-23,STAFF COSTS
SUNDRY PAYMENTS,-0.10293464,-0.10923464,2020-09-23,ACCOUNTS PAYABLE
UNIONS,-0.21432,-0.21432,2020-09-23,STAFF COSTS
STD BANK,0.37475745,,2020-09-23,COLLECTIONS
ABSA BANK,159.30432157,50.0,2020-09-23,COLLECTIONS
OTHER / TELKOM MOBILE,6.66782336,,2020-09-23,COLLECTIONS
PENSIONS,-42.72819193,-42.72819193,2020-09-23,STAFF COSTS
AP PAYMENTS,-0.18198403,-0.44,2020-09-23,ACCOUNTS PAYABLE
BIDVEST/BROLL/ EXCELLERATE PAYMENTS,-11.9082279,-11.9082279,2020-09-23,ACCOUNTS PAYABLE
STD BANK,0.77767043,,2020-09-28,COLLECTIONS
ABSA BANK,81.3376125,190.0,2020-09-28,COLLECTIONS
MTN / VODACOM / CELL-C / NEOTEL,9.18329724,,2020-09-28,COLLECTIONS
AP PAYMENTS,-1.17526732,-1.4,2020-09-28,ACCOUNTS PAYABLE
ABSA BANK,81.3376125,190.0,2020-09-28,COLLECTIONS
AP PAYMENTS,-1.17526732,-1.4,2020-09-28,ACCOUNTS PAYABLE
MTN / VODACOM / CELL-C / NEOTEL,9.18329724,,2020-09-28,COLLECTIONS
STD BANK,0.77767043,,2020-09-28,COLLECTIONS
PENSIONS,-0.40167809,-0.40167809,2020-09-30,STAFF COSTS
MEDICAL SCHEMES incl. PENSIONERS,-27.1548833,-27.1548833,2020-09-30,STAFF COSTS
OTHER EMPLOYEE COSTS,-4.98012721,-4.98012721,2020-09-30,STAFF COSTS
OTHER ,0.22712369,,2020-09-30,STAFF COSTS
